rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/std,train/loss,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates
-1268.7770741,1,2048,4,439,200.0,,,,,,,,,,,
-1302.6445047,2,4096,24,168,200.0,6145.742778124128,0.004827479,0.0003,-1.3912208604493312,-0.0037954400586646185,0.9623703360557556,1748.36962890625,-0.003014802932739258,0.2,0.041078404017857145,70
-1326.887701266667,3,6144,44,138,200.0,6122.5794653756275,0.0043495586,0.0003,-1.3874407840094396,-0.0019045532408719218,0.9665505290031433,1725.26220703125,0.00963979959487915,0.2,0.021951729910714285,140
-1290.546862825,4,8192,64,126,200.0,5820.050229099818,0.0036160515,0.0003,-1.3940244954611574,-0.0040188309586873016,0.9772045016288757,1371.1641845703125,0.0006185173988342285,0.2,0.029031808035714285,210
-1286.0865393333333,5,10240,84,120,200.0,4024.5411728995186,0.004277572,0.0003,-1.4210803069706475,-0.002970236700743304,1.006060004234314,984.0449829101562,0.00036150217056274414,0.2,0.03101283482142857,280
-1271.1273279836066,6,12288,104,117,200.0,3017.0200805936543,0.0053911866,0.0003,-1.40695054137281,-0.0019419157052262953,0.9755603671073914,856.7054443359375,5.424022674560547e-05,0.2,0.029261997767857144,350
-1248.1242173943663,7,14336,124,115,200.0,2377.2264214106967,0.0062736426,0.0003,-1.4184422349823373,-0.003453498092546527,1.0130964517593384,573.7625122070312,0.14721381664276123,0.2,0.03956473214285714,420
-1240.8915955925927,8,16384,144,113,200.0,1214.3327690669469,0.0019696294,0.0003,-1.4308452449206794,-0.0012160202696187689,1.011935830116272,338.26690673828125,0.38312292098999023,0.2,0.013260323660714286,490
-1225.2726450217392,9,18432,164,112,200.0,1361.4199605260576,0.0053539136,0.0003,-1.4273757757352932,-0.0036096567743308175,1.0115690231323242,302.6524658203125,0.4170316457748413,0.2,0.03849051339285714,560
-1219.26813203,10,20480,183,111,200.0,516.2077892507825,0.0049712667,0.0003,-1.4570039027503559,-0.004890019050383541,1.0452295541763306,171.62240600585938,0.6775484979152679,0.2,0.04404994419642857,630
-1205.98611537,11,22528,203,110,200.0,501.5934389454978,0.006583278,0.0003,-1.4477004080478635,-0.008376976288439307,1.0202646255493164,131.14735412597656,0.6862541139125824,0.2,0.07442801339285714,700
-1192.39403832,12,24576,223,109,200.0,625.5798716442926,0.0044592135,0.0003,-1.419352710513132,-0.004007042223487848,0.9959897994995117,170.47816467285156,0.763677790760994,0.2,0.04575892857142857,770
-1152.70932606,13,26624,243,109,200.0,469.5445621218,0.006974373,0.0003,-1.424822587519884,-0.007227764585072041,1.007301688194275,144.11776733398438,0.8498567491769791,0.2,0.05417131696428571,840
-1130.14472687,14,28672,263,108,200.0,155.20647081307,0.011321938,0.0003,-1.431809520508562,-0.013610275812763056,1.0157737731933594,79.00521850585938,0.8452883511781693,0.2,0.10053013392857142,910
-1094.799641,15,30720,283,108,200.0,180.76815161023822,0.012261307,0.0003,-1.4266842707459415,-0.01540343119372015,1.0088621377944946,78.72306060791016,0.8455203324556351,0.2,0.1321079799107143,980
-1050.66579942,16,32768,304,107,200.0,161.41036640575953,0.012864249,0.0003,-1.4219123447579998,-0.014327855257059647,1.002418041229248,74.02147674560547,0.8754478693008423,0.2,0.13344029017857142,1050
-1010.52854785,17,34816,324,107,200.0,131.74646034921918,0.016866794,0.0003,-1.4211370851312364,-0.018510722419471548,1.0051002502441406,69.21582794189453,0.9007072448730469,0.2,0.14996512276785715,1120
-935.57448291,18,36864,343,107,200.0,176.78109735420773,0.020051798,0.0003,-1.3885433294411216,-0.020691454883282338,0.9582911133766174,65.90872192382812,0.8584232330322266,0.2,0.18072684151785715,1190
-856.6867275300001,19,38912,364,106,200.0,226.004728947367,0.016332472,0.0003,-1.3395911915493863,-0.021964689679693297,0.9124553799629211,73.69268035888672,0.8422044217586517,0.2,0.1642578125,1260
-774.6416477000004,20,40960,384,106,200.0,243.56527552264077,0.013743628,0.0003,-1.2856663398976838,-0.01660897726334432,0.8626444339752197,129.973876953125,0.8761206045746803,0.2,0.13006417410714285,1330
-667.0000605600002,21,43008,404,106,200.0,176.3416196346283,0.016111352,0.0003,-1.2098865355764117,-0.015169858127774206,0.7996691465377808,87.66771697998047,0.9369425028562546,0.2,0.1372349330357143,1400
-573.1741201599999,22,45056,423,106,200.0,88.5258300449167,0.008818821,0.0003,-1.1538450989872218,-0.008631463140357351,0.7585598230361938,40.56961441040039,0.9509055577218533,0.2,0.09129464285714285,1470
-488.46046744,23,47104,444,106,200.0,59.021902948617935,0.011482019,0.0003,-1.1109045917966536,-0.007204972565939118,0.7246391177177429,18.48883819580078,0.9821108989417553,0.2,0.08191266741071429,1540
-410.22963002000006,24,49152,463,105,200.0,34.72394661179611,0.011005212,0.0003,-1.1055236219295435,-0.008805847141359534,0.7330557107925415,13.419037818908691,0.9604823961853981,0.2,0.11435546875,1610
-341.85820341,25,51200,483,105,200.0,33.704037064101016,0.00951696,0.0003,-1.0715636646641151,-0.010235829529951194,0.6917756795883179,9.163979530334473,0.9528675749897957,0.2,0.08187081473214286,1680
-279.40996488999997,26,53248,503,105,200.0,25.182921219510693,0.028324552,0.0003,-1.0519045019256217,-0.006557677507018005,0.6880319118499756,10.4218168258667,0.9782422501593828,0.2,0.08742327008928572,1750
